BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,10/08/2021,2
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,04/11/2021,11
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,22/01/2021,5
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,29/03/2021,6
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,07/06/2021,1
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,16/02/2021,11
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,04/03/2021,3
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,06/10/2021,3
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,07/05/2021,440
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,12/10/2021,15
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,06/01/2021,12
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,18/01/2021,0
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,16/03/2021,31
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,01/12/2021,12
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,16/04/2021,38
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,24/11/2021,2
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,18/11/2021,0
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,08/07/2021,0
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,04/02/2021,13
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,10/02/2021,0
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,22/02/2021,130
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,22/03/2021,470
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,26/02/2021,28
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,06/04/2021,120
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,12/01/2021,86
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,21/04/2021,0
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,15/10/2021,85
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,12/04/2021,19
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,28/04/2021,0
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,03/09/2021,2
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,27/10/2021,2
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,08/11/2021,38
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,12/11/2021,8
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,21/10/2021,3
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,07/12/2021,12
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,13/12/2021,6
95,Botany Bay,Bayside Council,Brighton Le Sands Baths,151.1567,-33.9632,17/12/2021,0
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,15/10/2021,420
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,08/11/2021,450
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,12/04/2021,10
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,07/06/2021,17
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,10/08/2021,7
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,04/11/2021,8
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,07/05/2021,240
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,12/10/2021,9
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,22/01/2021,13
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,03/09/2021,3
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,08/07/2021,23
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,21/10/2021,38
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,04/02/2021,2
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,22/02/2021,100
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,22/03/2021,1600
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,07/12/2021,5
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,06/01/2021,9
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,10/02/2021,13
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,29/03/2021,7
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,13/12/2021,68
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,18/11/2021,15
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,24/11/2021,92
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,17/12/2021,46
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,16/04/2021,76
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,22/12/2021,19
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,26/02/2021,43
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,06/04/2021,30
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,06/10/2021,28
