BeachId,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
95.0,Brighton Le Sands Baths,151.1567,-33.9632,2021-12-13 00:00:00+00:00,6.0
98.0,Dolls Point Baths,151.14512,-33.99719,2021-12-13 00:00:00+00:00,68.0
93.0,Foreshores Beach,151.19803,-33.9574,2021-12-13 00:00:00+00:00,300.0
94.0,Kyeemagh Baths,151.1644,-33.95268,2021-12-13 00:00:00+00:00,13.0
96.1,Monterey Baths,151.151732,-33.975049,2021-12-13 00:00:00+00:00,0.0
97.0,Ramsgate Baths,151.14819,-33.98542,2021-12-13 00:00:00+00:00,5.0
99.0,Sandringham Baths,151.14039,-34.00054,2021-12-13 00:00:00+00:00,7.0
90.0,Congwong Bay,151.234813,-33.989325,2021-12-10 00:00:00+00:00,13.0
91.0,Frenchmans Bay,151.231264,-33.987235,2021-12-13 00:00:00+00:00,39.0
92.0,Yarra Bay,151.228228,-33.978245,2021-12-13 00:00:00+00:00,40.0
100.0,Silver Beach,151.207511,-34.007273,2021-12-13 00:00:00+00:00,2.0
806.1,Avoca Beach,151.4364,-33.4699,2021-12-07 00:00:00+00:00,5.0
805.0,Avoca Lagoon (Bulbararing),151.4348,-33.4641,2021-12-07 00:00:00+00:00,31.0
657.0,Bateau Bay Beach,151.483061,-33.384831,2021-11-25 00:00:00+00:00,5.0
635.0,Birdie Beach,151.6068833,-33.20566667,2021-11-25 00:00:00+00:00,5.0
653.0,Blue Bay,151.501699,-33.355828,2021-11-25 00:00:00+00:00,5.0
656.0,Blue Lagoon,151.486003,-33.379332,2021-11-25 00:00:00+00:00,5.0
637.0,Budgewoi Beach,151.57025,-33.23868333,2021-11-25 00:00:00+00:00,5.0
641.0,Cabbage Tree Bay,151.5685,-33.2791,2021-11-22 00:00:00+00:00,84.0
642.0,Cabbage Tree Bay Rockpool,151.5697333,-33.27915,2021-12-06 00:00:00+00:00,10.0
647.0,Canton Beach,151.543894,-33.272474,2021-12-06 00:00:00+00:00,148.0
631.0,Chain Valley Bay,151.565482,-33.174788,2021-12-06 00:00:00+00:00,30.0
808.0,Cockrone Lagoon,151.4272,-33.4927,2021-12-07 00:00:00+00:00,10.0
809.1,Copacabana Beach,151.4329,-33.4913,2021-12-07 00:00:00+00:00,10.0
810.0,Davistown Baths,151.3639,-33.4899,2021-12-07 00:00:00+00:00,5.0
812.0,Forresters Beach,151.4647,-33.4139,2021-11-23 00:00:00+00:00,10.0
634.0,Frazer Beach,151.6232,-33.1877,2021-11-22 00:00:00+00:00,5.0
