URL_PollutionReport_RSSFeed,BeachName
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Balmoral%20Baths", Balmoral Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Cabarita%20Beach", Cabarita Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Camp%20Cove", Camp Cove
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Chinamans%20Beach", Chinamans Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Chiswick%20Baths", Chiswick Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Clifton%20Gardens", Clifton Gardens
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Clontarf%20Pool", Clontarf Pool
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Davidson%20Reserve", Davidson Reserve
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Dawn%20Fraser%20Pool", Dawn Fraser Pool
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Edwards%20Beach", Edwards Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Fairlight%20Beach", Fairlight Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Forty%20Baskets%20Pool", Forty Baskets Pool
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Greenwich%20Baths", Greenwich Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Gurney%20Crescent%20Baths", Gurney Crescent Baths
